PUMFID,LFW_400,LFW_410,LFW_420A,LFW_420B,LFW_420C,LFW_440,AFT_P010,AFT_020,AFT_P040,AFT_050,AFT_070,AFT_080,AFT_090,BEF_P140,BEF_P150,BEF_160,DEM_P010,DEM_P030,DEM_P140,GRADAGEP,REG_INST,CERTLEVP,PGMCIPAP,COOP,PREVLEVP,HLOSGRDP,HLOSINTP,STULOANS,OWESLGD,OWEGVIN,SRCFUND,RESP,SCHOLAR,DBTOTGRD,DBTOTINT,DBTALGRD,DBTALINT,LFSTAT,LFCINDP,LFCOCCP,LFWFTPT1,JOBQLEVP,JOBQLGRD,JOBQLINT,JOBINCP,PERSINCP,REG_RESP,VISBMINP,CTZSHIPP,LHOMEP,LFIRSTP,FATHEDP,FATEDGRD,FATEDINT,MOTHEDP,MOTEDGRD,MOTEDINT,DDIS_FL,DTYPERP,DCLASSP,WTPF
28111,1,2,2,2,2,2,2,2,1,1,1,6,2,3,2,5,2,0,1,1,1,2,5,2,6,2,2,2,6,6,3,3,1,2,1,2,1,1,4,2,1,2,2,2,6,5,1,2,1,1,1,6,3,3,6,3,3,1,1,1,10.0873
28113,2,1,2,1,2,2,1,2,1,2,1,6,2,3,1,2,2,0,3,1,4,1,5,2,6,1,2,2,6,6,3,6,1,2,1,2,1,1,3,2,1,0,1,1,6,5,9,1,2,3,3,2,1,1,2,1,1,2,6,0,32.2057
28114,6,6,6,6,6,6,1,2,1,1,1,6,3,3,1,1,1,0,1,1,4,2,4,2,6,2,2,2,6,6,1,6,6,9,9,9,9,3,96,96,6,6,6,6,96,1,4,1,9,3,3,6,3,3,6,3,3,2,6,0,11.0231
28116,6,6,6,6,6,6,1,3,1,1,1,6,1,3,1,1,2,0,3,2,2,3,4,2,2,3,3,1,2,3,3,2,6,6,6,2,3,3,96,96,6,6,6,6,96,3,2,1,1,3,3,4,1,1,5,1,1,2,6,0,16.1977
28117,1,2,1,2,1,2,2,2,1,1,1,6,1,1,1,6,2,0,1,1,4,1,8,2,6,1,1,2,6,6,1,6,6,6,6,6,6,1,1,8,1,1,2,2,7,7,9,2,1,1,1,4,2,2,4,2,2,2,6,0,10.6
28118,1,1,2,2,1,2,4,2,1,2,1,6,3,3,2,6,1,0,1,2,4,3,5,1,2,3,3,2,6,6,3,6,1,3,2,3,2,1,3,5,1,2,1,1,8,7,4,2,1,1,1,1,1,1,5,1,1,1,1,1,10.4117
28121,2,2,1,1,2,2,1,1,1,1,1,6,1,1,1,6,2,0,1,1,4,1,8,1,6,1,1,2,6,6,3,6,1,3,0,3,0,1,3,2,1,2,3,3,7,6,9,2,1,1,1,5,3,3,5,3,3,1,2,1,11.3271
28123,6,6,6,6,6,6,0,6,6,6,6,6,6,4,1,6,1,1,1,3,4,1,5,2,6,1,1,2,6,6,1,6,6,6,6,6,6,2,96,96,6,6,6,6,96,5,9,2,1,1,1,1,1,1,3,1,1,1,3,3,18.7256
28124,3,2,2,4,2,2,5,1,1,1,1,6,2,1,1,6,1,0,1,1,4,2,10,2,6,2,2,1,3,3,2,6,6,6,6,3,3,1,2,2,1,0,1,1,4,5,4,2,1,1,1,99,9,9,4,1,1,2,6,0,13.042
28125,3,1,2,2,5,1,6,6,6,6,6,6,6,3,1,5,2,0,1,1,1,2,4,2,6,2,2,2,6,6,3,6,2,0,0,0,0,1,6,7,1,9,1,1,3,3,1,2,1,1,1,2,1,1,4,1,1,2,6,0,10.1859
28127,6,6,6,6,6,6,1,2,1,2,2,3,1,3,1,2,1,1,1,3,4,2,1,2,2,2,2,1,2,1,2,6,6,3,3,3,3,3,96,96,6,6,6,6,96,5,4,1,2,1,1,5,2,2,4,1,1,2,6,0,14.2388
28129,1,2,2,2,2,2,3,1,1,1,1,6,2,1,1,6,2,0,1,3,4,2,5,2,2,2,2,1,4,4,2,6,6,6,6,4,4,1,1,2,1,2,2,2,5,4,4,2,3,1,3,5,2,2,5,2,2,2,6,0,15.3974
28131,2,2,1,1,1,2,1,2,1,2,2,2,1,3,1,3,1,0,1,1,3,3,6,2,2,3,3,2,6,6,3,4,1,6,6,6,6,1,3,5,1,3,2,2,8,8,3,2,1,1,1,4,1,1,5,1,1,2,6,0,11.2514
28133,3,1,2,2,2,2,1,2,1,1,1,6,3,2,1,6,1,2,3,3,2,1,8,1,6,1,1,1,3,0,2,6,6,6,6,3,0,1,1,3,1,1,2,2,6,4,2,1,2,2,2,4,3,3,4,3,3,2,6,0,15.5494
28135,1,2,1,2,1,2,1,2,1,2,1,6,1,1,1,6,1,3,1,2,4,1,9,2,6,1,1,1,4,4,3,6,6,6,6,4,4,1,7,4,1,1,2,2,6,6,9,2,1,1,1,3,1,1,3,1,1,1,1,1,14.3545
28139,6,6,6,6,6,6,2,1,1,2,2,2,1,1,1,6,2,0,3,1,2,2,1,2,6,2,3,2,6,6,2,6,6,6,6,6,6,2,96,96,6,6,6,6,96,5,2,2,1,2,2,2,1,1,5,2,1,2,6,0,32.2566
28142,3,6,6,6,6,6,1,1,1,1,2,4,3,1,1,2,2,0,1,2,4,2,4,2,2,2,2,2,6,6,1,6,6,6,6,6,6,1,1,8,1,6,6,6,96,3,4,1,3,1,1,6,3,3,6,3,3,2,6,0,10.5979
28143,1,2,2,2,2,1,6,6,6,6,6,6,6,1,1,3,1,0,1,2,1,2,5,2,2,2,3,2,6,6,2,6,6,6,6,6,6,1,7,5,1,3,3,2,6,7,1,2,1,1,1,6,3,1,5,2,1,2,6,0,10.8356
28144,1,2,1,3,2,2,1,2,1,1,1,6,2,3,1,6,1,0,1,1,3,3,10,2,2,3,3,1,4,0,3,2,6,6,6,4,0,1,1,3,1,2,1,1,8,99,3,1,1,1,3,2,1,1,2,1,1,2,6,0,11.2514
28148,3,2,2,2,4,2,3,1,1,2,2,3,3,3,1,3,2,0,3,1,2,2,6,2,1,2,2,1,1,2,3,6,1,6,6,1,2,1,4,3,1,1,1,1,3,2,2,2,1,2,2,5,2,2,5,2,2,2,6,0,33.437
28149,1,2,2,2,3,1,6,6,6,6,6,6,6,5,9,2,2,0,1,2,3,3,8,2,2,3,3,2,6,6,3,6,4,6,6,6,6,1,4,3,1,2,1,1,8,7,3,1,1,1,1,6,2,2,5,1,1,1,1,1,10.516
28153,1,2,2,3,1,1,6,6,6,6,6,6,6,1,1,3,2,2,1,4,4,1,7,2,3,3,1,1,4,4,3,6,1,6,6,4,4,1,6,2,1,1,1,2,5,6,9,2,1,1,1,5,3,3,5,3,3,1,2,1,13.1148
28154,1,2,2,1,2,1,6,6,6,6,6,6,6,1,1,2,1,2,1,3,4,3,9,2,2,3,3,1,4,0,3,6,2,3,3,4,3,1,7,4,2,3,2,2,2,2,4,2,1,1,1,99,9,9,2,1,1,1,1,1,9.9764
28155,1,2,1,2,2,1,6,6,6,6,6,6,6,3,1,1,1,0,3,1,2,1,9,2,1,1,1,2,6,6,1,6,6,6,6,6,6,1,1,3,1,1,2,2,5,5,2,1,1,1,3,2,1,1,2,1,1,2,6,0,17.2455
28158,3,2,1,2,1,1,6,6,6,6,6,6,6,3,1,3,2,0,2,1,2,1,4,2,6,1,2,2,6,6,1,6,6,6,6,6,6,1,6,7,2,0,1,1,2,2,2,2,1,2,2,3,1,1,4,2,1,2,6,0,18.035
28160,1,2,1,1,1,2,2,1,1,2,1,6,3,3,1,2,1,0,1,1,1,2,4,2,6,2,3,1,4,4,3,6,6,6,6,4,4,1,7,5,2,3,3,1,4,5,1,2,1,1,1,99,9,9,4,1,1,2,6,0,12.1596
28161,2,2,2,2,2,2,2,3,1,2,1,6,3,3,9,1,2,0,3,2,2,3,8,2,6,3,3,2,6,6,1,6,6,6,6,6,6,1,3,2,1,2,1,1,99,99,2,1,3,1,3,6,3,3,4,1,1,2,6,0,22.1149
28162,6,6,6,6,6,6,0,6,6,6,6,6,6,3,9,1,2,0,1,2,4,2,4,2,6,2,2,2,6,6,1,6,6,6,6,6,6,2,96,96,6,6,6,6,96,1,4,1,1,5,5,5,2,2,5,2,2,2,6,0,14.2388
