"ID","edu_level","program","edu_region","cur_region","cur_status","job_sector","job_type","student","annual_salary","job_satisfy","employment_rate","total_population","percentage"
59113,"Master/PhD","Business","Quebec","Quebec","Employed","Science","Full-time","Not Student","90000","Very satisfied",90.1944209636517,2853,17.6787706035444
59114,"Master/PhD","Lifescience","Ontario","Ontario","Employed","Science","Full-time","Not Student","60000","Satisfied",87.0460394623963,2648,16.4084768868509
59116,"Master/PhD","MCS","Quebec","Quebec","No Labour Force",NA,NA,"Student",NA,"Valid skip",90.1944209636517,380,2.35469079191969
59117,"Bachelor","Other","Western","Western","Employed","Health","Full-time","Not Student","80000","Neutral",87.5531268973892,4973,30.8154666005701
59118,"Bachelor","Education","Ontario","Ontario","Employed","Education","Part-time","Student",NA,"Satisfied",87.0460394623963,331,2.05105961085636
59124,"Bachelor","MCS","Ontario","Ontario","Employed","Health","Full-time","Not Student","40000","Dissatisfied",87.0460394623963,2648,16.4084768868509
59125,"College/CEGEP","Arts","Quebec","Quebec","Employed","Other","Full-time","Not Student",NA,"Valid skip",90.1944209636517,2853,17.6787706035444
59126,"College/CEGEP","Other","Quebec","Quebec","Employed","Health","Full-time","Not Student","80000","Satisfied",90.1944209636517,2853,17.6787706035444
59127,"Bachelor","Health","Western","Western","Employed","Trade","Full-time","Not Student","60000","Very satisfied",87.5531268973892,4973,30.8154666005701
59129,"College/CEGEP","Arts","Ontario","Ontario","Employed","Goods Producing","Full-time","Not Student","60000","Very satisfied",87.0460394623963,2648,16.4084768868509
59130,"Master/PhD","Lifescience","Western","Western","Employed","Health","Full-time","Not Student","60000","Satisfied",87.5531268973892,4973,30.8154666005701
59131,"College/CEGEP","NA","Quebec","Quebec","Employed","Science","Full-time","Not Student","40000","Satisfied",90.1944209636517,2853,17.6787706035444
59133,"College/CEGEP","Business","Quebec","Quebec","Employed","Health","Full-time","Student",NA,"Valid skip",90.1944209636517,2853,17.6787706035444
59135,"College/CEGEP","Architecture","Ontario","Ontario","Employed","Science","Full-time","Not Student","60000","Satisfied",87.0460394623963,2648,16.4084768868509
59137,"College/CEGEP","Other","Atlantic","Atlantic","Employed","Health","Full-time","Not Student","60000","Very satisfied",84.7740236946029,1722,10.6704672202256
59138,"Bachelor","Lifescience","Western","Western","Employed","Finance","Full-time","Not Student","80000","Very satisfied",87.5531268973892,4973,30.8154666005701
59139,"Bachelor","Arts","Western","Western","Employed","Finance","Full-time","Not Student","60000","Satisfied",87.5531268973892,4973,30.8154666005701
59144,"Bachelor","Other","Atlantic","Atlantic","Employed","Health","Full-time","Not Student","60000","Satisfied",84.7740236946029,1722,10.6704672202256
59145,"Bachelor","Other","Western","Western","Employed","Other","Part-time","Not Student","15000","Very satisfied",87.5531268973892,661,4.09592266699715
59146,"Bachelor","Business","Atlantic","Atlantic","Employed","Health","Full-time","Not Student","40000","Very satisfied",84.7740236946029,1722,10.6704672202256
59147,"Bachelor","Other","Western","Western","Employed","Health","Full-time","Not Student","40000","Very satisfied",87.5531268973892,4973,30.8154666005701
59148,"College/CEGEP","Business","Quebec","Quebec","Employed","Health","Full-time","Not Student","40000","Very satisfied",90.1944209636517,2853,17.6787706035444
59149,"Bachelor","Other","Western","Western","Employed","Health","Full-time","Not Student","90000","Satisfied",87.5531268973892,4973,30.8154666005701
59150,"College/CEGEP","NA","Western","Western","No Labour Force",NA,NA,"Student",NA,"Valid skip",87.5531268973892,954,5.91151319866154
59151,"Bachelor","Business","Ontario","Ontario","Employed","Health","Full-time","Not Student","80000","Neutral",87.0460394623963,2648,16.4084768868509
59152,"Master/PhD","Arts","Atlantic","Atlantic","Employed","Science","Full-time","Not Student","80000","Neutral",84.7740236946029,1722,10.6704672202256
59153,"Master/PhD","Business","Ontario","Ontario","Employed","Finance","Full-time","Not Student","80000","Very satisfied",87.0460394623963,2648,16.4084768868509
